Name,Score,Description
How to Be an American,94,The York Theatre Company presents a turn-of-the-20th-century political cabaret featuring classic American songs. Presented as a staged concert reading as part of its New2NY Series.
Company,94,St. Bart's Players presents Stephen Sondheim's Tony-winning musical about a habitually single man contemplating the state of his life on the evening of 35th birthday.
Pharma Bro: An American Douchical,93,"A new musical about corporate greed, the American Dream gone wrong, and what happens when you try to f*** with a certain hip-hop group and their pal Bill Murray.
"
Billy and the Killers,92,A play meets a rock band in this world premiere alt-rock musical about a pair of misfit lovers and a bloody crime of passion.
Sweet Charity,92,"Harlem Repertory Theatre presents a new staging of the classic musical which includes the hits ""Big Spender"" and ""If They Could See Me Now."""
Gigantic,92,"The Vineyard Theatre presents a coming-of-age musical comedy about a group of outcast teens who have been sent to a weight-loss camp in Pennsylvania.
"
Sleepy Hollow,92,"Be Bold Productions presents their original musical based on ""The Legend of Sleepy Hollow."""
Mother Courage and Her Children,91,"Classic Stage Company transports Brecht's timeless play about war to the modern-day Congo, starring Kecia Lewis with a new score by Tony Award-winning composer Duncan Sheik."
12 Steps: The Musical!,91,Hanging Cow Productions presents a comedic and heartwarming musical about overcoming addiction and the path to self-acceptance.
Mata Hari,91,"HERE Arts Center presents a musical examination of the famous femme fatale, whose espionage exploits took her back and forth across WWI Europe. Part of the annual Prototype Festival."
The Time Machine,91,"Part of the New York Musical Festival: In this wicked retelling of the classic novel by H.G. Wells, a troubled inventor discovers a modern dystopia where machines are nonexistent and love is forbidden."
"Red Roses, Green Gold",91,"The songs of Jerry Garcia and Robert Hunter (of the Grateful Dead fame) come to the stage in this new musical, the fantastical and comedic tale of a legendary swindler."
Alex and Eugene,91,"​Inspired by Pushkin's 'Eugene Onegin,' this new musical presents a thoroughly modern tale of young artists struggling to find themselves in a world where their bond with each other is often the only refuge from despair."
Ruben &amp; Clay's First Annual Ch...,91,"Ruben Studdard and Clay Aiken are reuniting live on Broadway — to celebrate the 15th Anniversary of their record-setting “American Idol” finale with a Christmas spectacular full of theatrics, music, and laughter."
Held Momentarily,91,"Part of the New York Musical Theatre Festival, this new musical takes us into the NYC subway, where six strangers are trapped on a stalled subway car."
Liberty: A Monumental New Musical,91,"Inspired by historical events, this family musical chronicles how the Statue of Liberty became an immigration icon and symbol of freedom. "
Green Card: A New Musical,90,Theatre at St. Clement's presents this new musical about the trials and tribulations of immigration.
Good Samaritans,90,New York City Players presents a revival of writer-director Richard Maxwell’s drama about a relationship at a rehabilitation center.
Really Rosie,90,"Encores! Off-Center presents this bittersweet family musical featuring a book and lyrics by kid-lit icon Maurice Sendak, and music by 10-time Grammy winner Carole King."
Pirate Pete's Parrot,90,"A children's musical from Secret Theatre about Pirate Pete, a lovable rogue on a mission to find his beloved runaway parrot, Polly."
Hell's Belles The Musical,90,Tweiss Productions present a new musical comedy in which a fallen pop star lands in Hell and joins some of history’s most notorious women. 
Cherchez La Femme: The Musical,90,"La MaMa presents a musical extravaganza by '80s pop star Kid Creole about one man's loss, another man's gain, and the powerful women who made it all possible."
"Edwin, The Story of Edwin Booth",90,Great Circle Productions presents a new musical commemorating the 150th anniversary of actor Edwin Booth's return to the stage—after his brother assassinated President Lincoln.
Jamaica,90,Harlem Repertory Theatre presents a revival of this 1957 Calypso musical by Yip Harburg and Harold Arlen ('The Wizard of Oz') which was a hit for Lena Horne.
R.R.R.E.D.,90,"In this new musical, a secret redheaded revolutionary organization is taking matters into their own hands, fighting back against their imminent extinction and standing up for the rights of redheads everywhere."
Dr. Seuss' How the Grinch Stol...,89,"Discover the magic of Dr. Seuss’ classic holiday tale as it comes to life on stage. Featuring the hit songs “You’re A Mean One, Mr. Grinch” and “Welcome Christmas."" Starring Gavin Lee (""SpongeBob"") as the Grinch."
Chick Flick the Musical,89,"""Chick Flick the Musical"" is a new musical comedy about life's greatest love story: friendship."
Gigi,89,"Vanessa Hudgens plays a French girl being groomed to be a courtesan, who attracts the attention of an older boy she considers a friend.
"
Crashlight,89,The Cherry Lane Theatre presents Celeste Makoff's new musical set in a dystopian future where tens of millions of people get only three minutes of sunlight a day.
"BUZZ, Son of a Bee...an actor'...",89,Vampingo Productions presents a new musical comedy that follows the journey of eight individuals as they search for a home in the theater.
A Never-Ending Line,89,The Players Theatre presents the New York debut of this song cycle conceived by Jaime Lozano as a tribute to the women in his life.
Frankenstein,89,"Write Act Repertory's production of Mary Shelley's classic Gothic horror classic is a sweeping, romantic musical faithful to the novel in its exploration of the question: ""Without love, what is life?"""
Living on Love,89,Opera star Renee Fleming fronts a new comedy concerning a war of infidelity between a diva and her maestro husband.
"That's MISS FITS, to YOU!",88,"Part of FringeNYC: A mystical poly-gender tale - That’s MISS FITS, to You! - concocts an elaborate journey to self-awareness with cameos by Rosa Parks, Judy Garland and Radical Faeries, oh my. The musical extravaganza…"
Love For Sale,88,"Titled Productions presents the US debut of this 1930s-set cabaret musical, which celebrates the music of Kurt Weill, Cole Porter, and their contemporaries.
"
Trinkets,88,"Following a successful engagement last fall, the new musical about a group of drag and trans prostitutes working the Meatpacking District in 1990s New York returns to Off-Broadway."
Frankenstein the Musical,88,"Be Bold! Productions revives its musical adaptation of Mary Shelley's horror classic. Obsession, desire, and ambition are explored through the eyes of a mad scientist and his ungodly creation."
Votes,88,"Castillo Theatre presents a musical set on the eve of the 2016 election, with America hours away from electing its first female president (no, it's not Hillary)."
Joan of Arc: Into The Fire,88,David Byrne of The Talking Heads and creator of 'Here Lies Love' explores the meteoric rise of Joan of Arc through the lens of a rock concert. A world premiere at the Public Theater directed by Alex Timbers.
Return to Spoon River,88,"In Creative Arts Lab's stage adaptation of Edgar Lee Masters' 'Spoon River Anthology,' two strangers return to their hometown to say one last goodbye to their pasts."
Dorian Gray,88,"Part of the New York Musical Festival: With found objects and big imaginations, an outcast troupe of players reinvents Oscar Wilde’s 1890 gothic tale of the young and mysterious Dorian Gray."
Lili Marlene,88,"Set in Germany as the Nazis rise to power, Write Act Repertory's musical chronicles the romance between cabaret singer Rosie Penn and Count Hans Wilhelm von Kleister Graff."
Locked Up Bitches,87,"The Flea presents this sweet, psychotic, queer, hip hop musical parody of a certain Netflix women’s prison drama."
Rothschild &amp; Sons,87,"A one-act, intimate re-imagining of the musical 'The Rothschilds' that focuses on the relationships between the patriarch of the family, Mayer Rothschild, his wife Gutele, and their five sons."
This Ain't No Disco,87,"This world premiere musical from Stephen Trask ('Hedwig and the Angry Inch') and Peter Yanowitz (The Wallflowers) is part rock opera, part impressionist tone poem set in the nightclubs and art world of 1979 NYC."
Dietrich Rides Again,87,"Justyna Kostek stars in the world premiere of this one-woman bio-musical about legendary actress and activist Marlene Dietrich.
"
Tribulation: The Musical,87,"Part of FringeNYC: It's the end of the world...and you still need a job. In Tribulation: The Musical prophets, whores, and middle managers alike all struggle to prevent the Apocalypse, in this hilarious, irreverent take…"
Shame of Thrones: The Rock Mus...,87,The producers of 'Lost: The Musical' and 'Once Upon a Time: The Rock Opera' present this unauthorized rock parody of HBO’s tentpole fantasy drama.
Androboros: Villain of the State,87,"Before Hamilton and Washington, there was Androboros—the villain who tried to end NYC's beginning and failed to make America great. This musical adaptation of America's first play is a comic tale of political gridlock."
Duke Oldrich &amp; Washerwoman Boz...,86,The Czechoslovak American Marionette Theatre presents a non-traditional staging of a 374 year-old marionette play based on the story of love at first sight of the 11th century Duke Oldrich.
Molasses in January,86,A new musical about a struggling family of Italian immigrants who are literally swept up in the Boston Molasses disaster of 1919 makes its Off Broadway premiere.
Full House! The Musical,86,"National Lampoon presents a musical parody of the hit 80's/90's sitcom, starring Perez Hilton as Danny Tanner and answering the age-old question: ""How many catchphrases can one family have?!"" "
The Startup Culture: The Musical,86,A musical comedy about a woman trying to make it in the startup world.
Words and Music,86,Part of Theater for the New City's Dream Up Festival: This new musical examines the lives of two aging men struggling to stay afloat in the rapidly evolving New York theater industry.
"Sincerely, Oscar",86,"A new musical celebrating Broadway’s legendary lyricist, Oscar Hammerstein II.
"
Sayonara,86,"Pan Asian Repertory presents the story of Major Gruver, a soldier stationed in Japan during World War II,  who falls in love with Hana-Ogi, a Japanese woman."
The Babies,86,"St. Luke's Theater presents this world premiere musical comedy featuring grown-ups as singing and dancing infants. The brainchild of classic sitcom vet Lloyd J. Schwartz ('Gilligan's Island,' 'The Brady Bunch'). "
Thomas Paine in Violence,86,"HERE Arts Center presents this electronic, psychedelic opera-sermon set in a cosmic radio station in the afterlife of the Thomas Paine, the Founding Father and international activist."
Norma Jeane Baker of Troy,85,"Renée Fleming (""Carousel"") and Ben Whishaw  (""Skyfall,"" The Crucible"") star in a dramatic work by Anne Carson exploring the lives and myths of Marilyn Monroe and Helen of Troy—iconic beauties who lived millennia apart."
Dr. Zhivago,85,A new musical adaptation of the 1958 Nobel Prize-winning novel about an epic romance set against the backdrop of the Russian revolution.
Yankee Peddler the Musical,85,"La Muse Venale presents a raucous new comedy about bringing American capitalism to the isolated, wine-loving island nation of Litania."
My Dear Watson,85,"Part of the New York Musical Festival: Told from the perspective of Dr. Watson, this dramatic musical reanalyzes and redefines love and friendship for a man who is seemingly incapable of both."
Let There Be Stuff,85,"FRIGID New York @ Horse Trade presents a musical adaptation of 'The Book of Genesis,' which retells the creation story with brutal accuracy."
Home for the Holidays,85,"Broadway's only holiday show features winners of 'American Idol,' 'The Voice,' and 'America's Got Talent' performing contemporary takes on more than 25 perennial favorites."
Iowa,85,A new musical about a mother and her teenage daughter uprooting their lives and moving to Iowa.
"Here I Sit, Broken Hearted…A B...",85,"Subtitled 'A Bathroom Odyssey,' this world premiere musical comedy is inspired by the scrawlings found in public restrooms. "
Your Name On My Lips,85,Theater for the New City presents a new musical about a young artist trying to pursue his passions: painting and his longtime girlfriend.
Monte Cristo,85,New Light Theater Project presents an adaptation of Alexandre Dumas' 1844 classic adventure novel about a wrongly imprisoned man.
The Portal,85,"Equal parts rock concert, movie, and theatrical performance, this immersive spectacle chronicles one man's epic journey in pursuit of a woman."
Soul Doctor,85,"Soul Doctor is a musical journey that tells the story of the father of popular Jewish music, Shlomo Carlebach and his unlikely friendship with Nina Simone. "
Pillars of New York,85,Write Act Repertory Theater presents a musical about four couples struggling with the events surrounding 9/11.
The House of Setting Sun,85,"Part of Theater for the New City's Dream Up Festival: In this Jazz-Age musical, the surviving member of a prominent Georgia family invites a fortuneteller to his plantation to divine who killed his long-dead parents."
The Death of the Moon,85,"In this dark new solo musical set in New York City, a disillusioned and lonely young woman spirals down into a world of drugs and prostitution."
America's Favorite Newscaster,85,"Theater for the New City presents this world premiere musical, written as an exploration and celebration of the lives and careers of TV journalists."
The Vanity,85,"Theatre Row presents this stylized, darkly humorous, musical melodrama inspired by Oscar Wilde's 'The Portrait of Dorian Gray."""
Bound to Rise,85,Medicine Show Theatre Ensemble presents a revival of its 1984 rags-to-riches musical inspired by the stories of Horatio Alger.
Welcome to the Kingdom of Saud...,84,Avant-garde artists Monk Parrots return to 59E59 with this new dark musical comedy set in Dharan about American expats in search of a dream.
Come Light My Cigarette,84,This suspenseful new musical tells the story of a young actress who has complicated relationships with her father and ex-lover.
Fort Dicks,84,"Based a true story, this new comic musical explores life in ""The Camp,"" the low-level prison of the famed military installation."
My Grandmother Prayed For Me,84,"This play, which deals primarily with issues found in black communities across America, first appeared Off-Broadway fifteen years ago, before returning in 2015."
Fresh Fruit Festival 2015,84," The 13th annual celebration of New York's LGBTQ arts & culture presents 9 works and 5 special events, over two weeks, with day and evening performances of theatre, dance, musicals, cabaret, and art. "
MITF Spring International Thea...,84,"The Midtown International Theatre Festival presents the 17th annual spring festival celebrating the diversity of theatre, with an emphasis on imaginative, low-tech staging."
Young Benjamin Banneker,84,"Theater for the New City presents a musical about Benjamin Banneker, dubbed the ""first African-American man of science,"" who achieved fame as an astronomer and mathematician."
Madeline's Christmas,84,KOTA Productions presents their second annual production of this family-musical about the adventures of a spirited and impetuous Parisian school girl. Based on the beloved picture book series by Ludwig Bemelmans.
Parental Guidance Suggested,84,Part of Theater for the New City's 2017 Dream Up Festival: This new musical comedy explores the drama of working at a daycare center.
How the Westons Won,83,"This new musical tells the story of two teenagers who accidentally bring a Wild West toy diorama to life, complete with Buffalo Bill, General George Custer, Geronimo, Calamity Jane, and a young Native American woman."
Pop-Sical Festival: Festival A,83,"""Pop-Sical Festival: Original Pop Culture Musicals"" is the inaugural festival focusing on pop-culture fixtures from the past and current topography by four emerging musical theater creators and composers.
"
Elevator Heart,83,This modular musical theater piece is built of vignettes that explore the diverse experiences of womxn in the 21st century. 
Short Play &amp; Musical Festival ...,82,"Short works based on a specific theme from a variety of playwrights, actors, and directors; this summer's theme is NYC."
My Name Is Gideon: I'm Probabl...,82,"Globe-roaming
troubadour Gideon Irving's autobiographical solo show is a voyage filled with songs, stories, gadgets, an oven, and a cornucopia of curious instruments from around the world."
Cinderella the Musical,82,Literally Alive invites you to step into the magical world of 'Cinderella' and see if the shoe fits in this musical adaptation for children.
Dancing on Eggshells,82,A ballerina haunted by childhood memories confronts a secret that threatens to destroy her.
Ars Nova ANT Fest 2015,82,"Ars Nova's Annual All New Talent festival features a different show by breakthrough artists every night for four weeks of wild comedy, music & theater mash-ups."
Charles &amp; Diana: The Musical,81,"The Morningside Players present a musical that wonders what would happen if Princess Diana could go back and relive her high-profile, tumultuous life over again? "
Fresh Fruit Festival 2016,81,"The Wild Project presents this 14th annual festival of LGBTQ art, two weeks of theater, dance, musicals, cabaret, art, and more. "
Napoleon,81,"Part of the New York Musical Theatre Festival, this new version of the 1994 musical reimagines the original as a behind-the-scenes political drama that chronicles the rise of Napoleon - and those who orchestrated it."
Cinderella,81,"Part of Frog & Peach Theatre Company's Tinkerbell Theatre Series, this comic musical reboot of the classic fairy tale is aimed at ages 4 and up. "
Tinga Tinga Tales - The Musical,81,"Lion, Monkey, Elephant and their larger-than-life animal friends leap onto the New Victory stage from the pages of the beloved books and the popular international cartoon series. Best for ages 4-7."
Rapunzarella White,81,"This family-friendly musical follows Rapunzel, Cinderella, and Snow White, triplets who are stolen and  separated from each other by an angry witch."
Under the Radar Festival,81,The Public Theater presents the 12th Edition of the 'Under the Radar Festival' a 12-day event showcasing cutting-edge theater from around the U.S. and the world.
The Shakespearean Jazz Show,81,"Part of the New York Musical Festival: The Nine Worthies provide a parade of Shakespearean sonnets, songs, and scenes set to original New Orleans-style jazz."
Eh Dah? Questions for my Father,81,"Hypokrit Theatre Company presents this story spanning generations in Egypt and America, this eclectic new musical by Aya Aziz explores how to discern truth from the stories we are told in a post 9/11 world. "
Olga Pericet: Mosaico,80,"A powerhouse performance by the rising international star of Flamenco dance, Olga Pericet."
The Snowy Day and Other Stories,80,"Four of Ezra Jack Keats's stories are brought to life in this presentation for children ages 3-8, featuring live action, humor, and shadow puppets."
A Charlie Brown Christmas,80,(2018) The Secret Theatre presents a return engagement of the stage adaptation of the beloved Peanuts holiday TV special.
Judy Garland LIVE in Concert,80,Iconic star of stage and screen Judy Garland comes alive when tribute artist Peter Mac steps into her ruby slippers.
The Trials of Alice in Wonderland,80,A children's musical set in Wonderland's courtroom where Alice is on trial for growing and changing.
New York Musical Theatre Festi...,80,The 12th annual three-week festival presents 20 new works in a wide variety of genres and stories and has a little something for everyone who loves musicals.
KulturfestNYC,80,"To commemorate its centennial, the National Yiddish Theatre Folksbiene is celebrating at Abrons Arts Center with KulturfestNYC, an International Festival of Jewish Performing Arts from around the globe."
Camp Kappawanna,80,"A group of adults play twelve year olds in this sweet, lovely musical romp. "
Caps For Sale - The Musical,80,"The New Victory Theater presents Adventure Theatre MTC's new musical based on a children's book, this treasured tale bursts with happy harmonies, merry melodies and quite a bit of monkey business."
The 25th Annual Putnam County ...,79,The Secret Theatre presents a revival of the Tony-nominated musical comedy about quirky kids putting everything on the line to win.
The Wizard of Oz,79,Vital Children's Theatre presents a one-hour stage adaptation of the classic 1939 movie.
A Charlie Brown Christmas,79,(2017) The Secret Theatre presents a return engagement of the  stage adaptation of the beloved Peanuts holiday TV special.
Fat Asses: The Musical,79,"This new musical follows the crusade of three larger-than-life ladies who find themselves ostracized from their friends, families and even their weight-loss support group."
The Jackie Mason Musical,79,Legendary comic Jackie Mason's 10 year love affair with a teacher/belly-dancer is told by their lovechild comedian Sheba Mason.
Search: Paul Clayton...The Man...,79,A Wiki folk musical that celebrates - in words and song - the true story of one of Bob Dylan's first musical mentors. 
Downtown Urban Theater Festiva...,79,"18 new works in a variety of genres, promoting diversity in theater by showcasing urban theatrical expression."
East to Edinburgh 2015,79,59E59 presents a festival featuring North American companies whose work is headed to the legendary Edinburgh Fringe Festival this summer.
United Solo Theatre Festival 2016,78,"United Solo presents its seventh annual festival of one-person shows, the largest event of its kind in the world."
Cabaret,78,"The Heights Players presents a revival of Kander and Ebb's musical about the denizens of the Kit Kat Klub, a decadent, 1930s Berlin nightclub.
 Featuring iconic songs such as 'Willkommen' and the title tune."
George M!,78,"The Heights Players presents the star-spangled musical based on the life of legendary American composer, playwright and showman George M. Cohan. "
Spring Awakening,78,"The winner of eight Tony Awards (including Best Musical), ""Spring Awakening"" explores the journey through adolescence with poignancy and passion. 
"
Between Gods and Kings,78,"""Between Gods and Kings"" presents a twisted modern adaptation of The ""Bacchae"" by Euripides with an original rock score in a bar."
Katz N Dogz,78,The Secret Theatre presents a brand new children's musical very loosely based on Shakespeare/West Side Story...with animals.
Princess Phooey,78,"Tada Theater's musical fairy tale like no other with a rebellious princess, and a gaggle of kooky chambermaids and stable boys - and of course a handsome prince!"
"Bike Shop, The Musical",78,"Theatre for the New City presents a one woman, one act musical about a Brooklyn bicycle shop and its owner, Bobby, an exuberant bike mechanic."
Fairy Tale Christmas: The Musi...,77,"Part of FringeNYC: Santa Claus has been kidnapped! A band of Fairy Tale Villains plan to make all the Fairy Tale Heroes change the endings of their stories, putting an end to 'Happily Ever After' forever!"
Fresh Fruit Festival 2017,77,"The Wild Project presents the 15th edition of this LGBTQ arts festival, two weeks of theater, dance, musicals, cabaret, and more."
The Stowaway,77,"Inspired by the plays and language of Shakespeare, this world premiere children's show from Trusty Sidekick Theater Company and Classic Stage Company uses puppetry, live music, and a sea of imagination."
Sandy Wilson's The Boy Friend,77,"The Jazz Age lives on in this light romantic spoof of 1920s musical comedy, set against the backdrop of the French Riviera."
The Testament of Josh: A Flesh...,77,"In the Brick's original rock musical, a small – and very Christian – American town plays host to a mysterious young stranger who just might be the second coming of Christ. "
(2015) The 35th Marathon of On...,77,Ensemble Studio Theatre's 35th Marathon of One-Act Plays features fourteen plays by fifteen playwrights presented in three separate evenings from May 13th through June 27th.   
The Upper Room,77,"A new play with original music inspired by the back-to-the-land movement, about urbanites heading out to live on rural, self-sustaining homesteads. "
AfroColombia,77,Thalia Hispanic Theatre presents a musical that explores the African footprint on the music and dance of the Pacific & Atlantic coasts of Colombia.
The Pirate La Dee Da: A New Mu...,77,Atlantic for Kids presents a show that offers a new twist on the classic fairy tale story: a young princess breaks free of the expectations put upon her in this family-friendly musical. 
The Bomb-itty of Errors,76,"The AlphaNYC Theater Company revives this pulsating 'ad-rap-tation' of William Shakespeare's 'The Comedy of Errors,' set in modern-day New York."
The Space Pirate Puppy Musical!,76,FRIGID New York @ Horse Trade and Tasty Monster Productions present an intergalactic rock and roll puppy pirate extravaganza for families. Best for ages 7 and up.
Trans-Jester,76,"Drag star Lady Bunny presents her latest raunchy, raucous, irreverent solo show at the legendary Stonewall Inn."
New York Musical Festival,76,The New York Musical Festival returns for its 14th season. See our NYMF Guide to peruse individual Show Pages. 
Gruff!,76,Doppelskope presents an interactive musical for young audiences that reinvents 'Three Billy Goats Gruff' as a puppet parable about climate change.
Fried Chicken &amp; Latkes,76,"The National Black Theatre presents Rain Pryor's one woman theatrical, cabaret-styled show about growing up Black and Jewish. "
Planet Connections Theatre Fes...,76,"New York's premiere socially-conscious arts festival, designed to invoke the power of art in motivating philanthropy, community outreach, and social change. "
Fancy Nancy Splendiferous Chri...,76,Vital Theatre presents this new family-friendly musical about a young girl who is thrilled to decorate her Christmas tree with a whole new ornament.
The Blind Truth: A Musical Jou...,75,Part of Theater for the New City's Dream Up Festival: Vinny St. Marten's autobiographical solo show explores his life as a blind singer/songwriter.
Lady of The Castle,75,"Theater for the New City revives this ghostly, post-Holocaust chamber opera about illusion, reality, love, betrayal, death, and hope."
The Little Mermaid,75,"Harlem School of the Arts presents a new adaptation of Hans Christian Andersen's classic story of a unique girl who dreams of love beyond the surface.
"
The Appointment,75,Lightning Rod Special returns to New York with this new musical satire about the American abortion debate.
Ramona,74,Lincoln Center Festival's international program brings this tragic tale of two trains in love inspired by Georgian folk song and told through marionettes. 
Out Of My Comfort Zone,74,"Performed by 15 young teens, this new rock musical explores issues of self-identity, gender, stereotypes, cyber-bullying, love, and friendship set in a middle school in New York City."
Love's Labour's Lost,73,"Hamlet Isn't Dead presents Shakespeare's 'Love's Labour's Lost,' it's ninth production, as part of its mission to present all of the Bard's work in chronological order. "
Hanna and the Moonlit Dress,73,A return engagement of the interactive musical for children about the power of good deeds. Based on Israeli author Itzhak Schweiger-Dmi’el's classic tale 'Hanna’s Sabbath Dress.'
Of Government,73,"As part of its Summerworks series, Clubbed Thumb presents this new play about the adventures of Barb the Teacher, Deb the Seeker, Heidi the Helper, Tawny the Addict, and a host of others. With songs!"
The Reception,73,"HERE presents a new work that turns the audience into voyeurs at a lively social gathering. Popular music, fizzy drinks, and friendly chatter hit the marks of a playful party, but something’s not quite right."
Old Turtle and the Broken Truth,72,Rebel Playhouse presents the NYC premiere of this one-act musical adventure about a young girl's quest to repair a broken truth. Based on the children's book of the same name.
A Christmas Carol,72,"The past, present, and future intermingle in Origin Theatre Company's one-man, site-specific parlor performance of Charles Dickens’ holiday classic taking place in the Chelsea townhouse and theater space."
Evolution of A Sonero,72,"The first full-length play by Latinx poet, actor, and singer Flaco Navaja is an epic about growing up, getting inspired, and staying on track. "
Emerging Artists Theatre,72,"A three-week developmental program showcasing new ""works-in-progress,"" followed by feedback from the audience."
"Oh, Kay!",72,"A revival of the 1926 Gershwin musical featuring the adventures of the Duke of Durham and his sister, Lady Kay, English bootleggers in Prohibition Era America. "
Devil And The Deep,72,
Acappella,72,
The Dinner,71,
The Velveteen Rabbit: A New Fa...,71,
Story Pirates Flagship,71,
Twinkle Tames a Dragon,71,
CocoaDios,71,
StinkyKids the Musical,71,
Young Charles Dickens,70,
The Resister Project,70,
Cabaret at the End of the World,70,
"New York, New Year",70,
The Perfect Monster,70,
Oliver!,70,
